Relation|RowGroup|Column|uncompressed|bb_compressed|c3_compressed|compression_ratio_improvement|bb_cr|c3_cr|datatype|C3_source_target|C3scheme|source_column|target_column|bb_source_ecr|bb_target_ecr|c3_source_ecr|c3_target_ecr|estimated_bytes_saved_source|estimated_bytes_saved_target|source_bb_scheme|target_bb_scheme|source_unique_count|target_unique_count|estimated_exception_count|real_exception_count|estimated_exception_size|real_exception_size|exception_compression_ratio|estimated_source_target_dict_size|real_source_target_dict_size|source_target_dict_compression_ratio|estimated_target_dict_size|real_target_dict_size|target_dict_compression_ratio|pearson_corr_coef|source_column_min|source_column_max|target_column_min|target_column_max|source_null_count|target_null_count|estimated_target_compressed_codes_size|real_target_compressed_codes_size|estimated_offsets_size|real_offsets_size|estimated_target_nullmap_size|real_target_nullmap_size
CMSprovider_1|0|18_NPPES_PROVIDER_STREET1|1417689|269587|108581|2.48282|5.25874|13.0565|string|target|Dict_Sharing|7|17|31.838613|5.258919|2.107801|14.436752|-145170|171378|-1|-1|1|7285|-1|-1|-1|-1|-1.000000|145179|161029|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|1|1|98200|108569|-1|-1|-1|-1||7|17
CMSprovider_1|0|19_NPPES_PROVIDER_STREET2|574745|152459|152483|0.999843|3.76983|3.76924|string|None|None||||||||||||||||||||||||||||||||||||
CMSprovider_1|0|20_NPPES_PROVIDER_ZIP|262144|130225|130249|0.999816|2.01301|2.01264|integer|None|None||||||||||||||||||||||||||||||||||||
CMSprovider_1|0|21_Number of Records|262144|4|60821|6.57668e-05|65536|4.31009|integer|source|Dict_Sharing|20|10|65536.000000|1.493894|4.809893|2.525083|-54497|71660|-1|-1|1|14681|-1|-1|-1|-1|-1.000000|52436|58736|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|103816|116760|-1|-1|-1|-1||20|10
CMSprovider_1|0|22_PLACE_OF_SERVICE|327683|10822|2650|4.08377|30.2793|123.654|string|source|Dict_Sharing|21|15|30.304541|30.784701|30.290534|118.688406|-5|7881|-1|-1|2|2|-1|-1|-1|-1|-1.000000|19|40|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|1|104|2760|2796|-1|-1|-1|-1||21|15
CMSprovider_1|0|23_PROVIDER_TYPE|1308794|45448|45472|0.999472|28.7976|28.7824|string|None|None||||||||||||||||||||||||||||||||||||
CMSprovider_1|0|24_STDEV_MEDICARE_ALLOWED_AMT|524288|171183|171207|0.99986|3.06273|3.0623|double|None|None||||||||||||||||||||||||||||||||||||
CMSprovider_1|0|25_STDEV_MEDICARE_PAYMENT_AMT|524288|508599|508623|0.999953|1.03085|1.0308|double|None|None||||||||||||||||||||||||||||||||||||
CMSprovider_1|0|26_STDEV_SUBMITTED_CHRG_AMT|524288|249175|249199|0.999904|2.1041|2.10389|double|None|None||||||||||||||||||||||||||||||||||||
CommonGovernment_1|0|1_Number of Records|262144|4|4245|0.000942285|65536|61.7536|integer|source|Dict_Sharing|0|21|65536.000000|4.349494|62.222644|7.692922|-4209|26194|-1|-1|1|536|-1|-1|-1|-1|-1.000000|2148|2160|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|34076|60884|-1|-1|-1|-1||0|21
