Relation|RowGroup|Column|uncompressed|bb_compressed|c3_compressed|compression_ratio_improvement|bb_cr|c3_cr|datatype|C3_source_target|C3scheme|source_column|target_column|bb_source_ecr|bb_target_ecr|c3_source_ecr|c3_target_ecr|estimated_bytes_saved_source|estimated_bytes_saved_target|source_bb_scheme|target_bb_scheme|source_unique_count|target_unique_count|estimated_exception_count|real_exception_count|estimated_exception_size|real_exception_size|exception_compression_ratio|estimated_source_target_dict_size|real_source_target_dict_size|source_target_dict_compression_ratio|estimated_target_dict_size|real_target_dict_size|target_dict_compression_ratio|pearson_corr_coef|source_column_min|source_column_max|target_column_min|target_column_max|source_null_count|target_null_count|estimated_target_compressed_codes_size|real_target_compressed_codes_size|estimated_offsets_size|real_offsets_size|estimated_target_nullmap_size|real_target_nullmap_size
CityMaxCapita_1|0|24_State|388154|43423|23446|1.85204|8.9389|16.5552|string|target|Dict_1to1|22|23|5.461363|8.947145|5.461363|16.626858|0|20038|BP|-1|5751|50|0|0|16|-1|-1.000000|23016|23056|0.997745|301|320|0.950000|-1.000000|-1|-1|-1|-1|2|2533|-1|-1|-1|-1|-1|40||22|23
CityMaxCapita_1|0|25_Tweet Text|5682890|3428370|3428394|0.999993|1.65761|1.6576|string|None|None||||||||||||||||||||||||||||||||||||
CityMaxCapita_1|0|26_Tweets|262144|133436|150320|0.88768|1.96457|1.74391|integer|target|DFOR|9|25|2.815967|1.964567|2.400388|6.483417|0|76887|-1|BP|3875|29690|-1|-1|-1|-1|-1.000000|15501|15512|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|727620|0|0|24932|134792|-1|-1|-1|-1||9|25
CityMaxCapita_1|0|27_Twitter Client|1410658|50557|23896|2.11571|27.9023|59.0332|string|target|Dict_1toN|14|26|20.481422|27.902328|20.481422|54.966412|0|24893|BP|-1|21|46|-1|-1|-1|-1|-1.000000|810|1690|0.990533|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|24748|22088|88|100|-1|-1||14|26
CityMaxCapita_1|0|28_User Bio|4002248|2473691|2473715|0.99999|1.61793|1.61791|string|None|None||||||||||||||||||||||||||||||||||||
CityMaxCapita_1|0|29_User Loc|795139|392334|124373|3.15449|2.02669|6.39318|string|target|Dict_Sharing|20|28|49.295424|2.070001|3.136640|9.622652|-231880|301493|-1|-1|5|14506|-1|-1|-1|-1|-1.000000|231942|268026|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|2533|25096|82632|124361|-1|-1|-1|-1||20|28
CityMaxCapita_1|0|30_Username 1|997422|607549|607573|0.99996|1.64171|1.64165|string|None|None||||||||||||||||||||||||||||||||||||
CityMaxCapita_1|0|31_Username|1014674|651130|651154|0.999963|1.55833|1.55827|string|None|None||||||||||||||||||||||||||||||||||||
CMSprovider_1|0|1_AVERAGE_MEDICARE_ALLOWED_AMT|524288|327026|327050|0.999927|1.6032|1.60308|double|None|None||||||||||||||||||||||||||||||||||||
CMSprovider_1|0|2_AVERAGE_MEDICARE_PAYMENT_AMT|524288|524134|524158|0.999954|1.00029|1.00025|double|None|None||||||||||||||||||||||||||||||||||||
CMSprovider_1|0|3_AVERAGE_SUBMITTED_CHRG_AMT|524288|367746|367770|0.999935|1.42568|1.42559|double|None|None||||||||||||||||||||||||||||||||||||
CMSprovider_1|0|4_BENE_DAY_SRVC_CNT|262144|68805|69481|0.990271|3.80996|3.77289|integer|target|DFOR|8|3|6.417469|3.810454|6.417469|12.144730|0|47211|-1|BP|1263|1210|-1|-1|-1|-1|-1.000000|5053|5064|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|8539|1|1|16532|64401|-1|-1|-1|-1||8|3
